Название,Категория,Полное название,Координаты,Область,Район,Значение,Тип заказника,Тип памятника природы,WORLD_HERITAGE_SITE,UNESCO_BIOSPHERE_RESERVE, EUROPEAN_DIPLOMA_OF_PROTECTED_AREAS,RAMSAR_SITE,IMPORTANT_BIRD_AREA,IMPORTANT_PLANT_AREA
Родник Воложинский,Памятник природы,Гидрологические,"54.10003, 26.53039",Минская,Воложинский,LOCAL,,GIDROLOGICAL,,,,,,
Демидовичские родники,Памятник природы,Гидрологические,"53.80072, 27.14402",Минская,Дзержинский,LOCAL,,GIDROLOGICAL,,,,,,
Родник около д. Радима,Памятник природы,Гидрологические,"53.59222, 27.29586",Минская,Дзержинский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Кузьмы Чорного ,Памятник природы,Гидрологические,"53.09322, 26.99812",Минская,Копыльский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Бобр,Памятник природы,Гидрологические,"54.33274, 29.25105",Минская,Крупский,LOCAL,,GIDROLOGICAL,,,,,,
Родник в урочище Высокие горы,Памятник природы,Гидрологические,"54.26998, 28.97309",Минская,Крупский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Бездонная Яма,Памятник природы,Гидрологические,"54.26952, 28.97226",Минская,Крупский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Лесной,Памятник природы,Гидрологические,"54.5077, 29.15051",Минская,Крупский,LOCAL,,GIDROLOGICAL,,,,,,
Родник в деревне Старый Сокол,Памятник природы,Гидрологические,"54.14159, 29.22022 ?",Минская,Крупский,LOCAL,,GIDROLOGICAL,,,,,,
Погребищенские родники,Памятник природы,Гидрологические,"54.25861, 28.01539",Минская,Логойский,LOCAL,,GIDROLOGICAL,,,,,,
Логойский родник Святого Николая,Памятник природы,Гидрологические,"54.20199, 27.85033",Минская,Логойский,LOCAL,,GIDROLOGICAL,,,,,,
Родник в урочище Первый Переток,Памятник природы,Гидрологические,"52.92314, 27.93464",Минская,Любанский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Малогорядичского лесничества,Памятник природы,Гидрологические,"52.53991, 28.31288?",Минская,Любанский,LOCAL,,GIDROLOGICAL,,,,,,
Роговский родник,Памятник природы,Гидрологические,"54.12583, 27.30029",Минская,Минский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Лешно (Святой),Памятник природы,Гидрологические,"54.30322, 26.73713",Минская,Молодечненский,LOCAL,,GIDROLOGICAL,,,,,,
Криница Богдановича,Памятник природы,Гидрологические,"54.25285, 27.09455",Минская,Молодечненский,LOCAL,,GIDROLOGICAL,,,,,,
Истоки Лани,Памятник природы,Гидрологические,"53.14879, 26.69869",Минская,Несвижский,LOCAL,,GIDROLOGICAL,,,,,,
Родник,Памятник природы,Гидрологические,"53.52624, 28.17747",Минская,Пуховичский,LOCAL,,GIDROLOGICAL,,,,,,
Родник в урочище Тумель,Памятник природы,Гидрологические,"53.91553, 28.24383?",Минская,Смолевичский,LOCAL,,GIDROLOGICAL,,,,,,
Судницкие родники,Памятник природы,Гидрологические,"53.50153, 26.619",Минская,Столбцовский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Красный,Памятник природы,Гидрологические,"53.77175, 26.64375",Минская,Столбцовский,LOCAL,,GIDROLOGICAL,,,,,,
Родник Галковского,Памятник природы,Гидрологические,"53.73998, 28.70499",Минская,Червенский,LOCAL,,GIDROLOGICAL,,,,,,
Березинский биосферный заповедник,Заповедник,Заповеднник ,"54.317187, 28.370008",Минская,Борисовский,,,,,1,1,1,1,1
"""Беловежская пуща""",Национальный парк,Национальный парк,"52.881883, 24.077671",Гродненская,Свислочский,,,,1,1,,,1,1
"""Нарочанский""",Национальный парк,Национальный парк,"54.573698, 26.621520",Гродненская,Сморгонский,,,,,,,,,
«Гродненская пуща»,Заказник,Ландшафтные,"53.829644, 23.656334",Гродненская,Гродненский,REPUBLICAN,LANDSCAPE,,,,,,,
«Озеры»,Заказник,Ландшафтные,"53.721333, 24.181192",Гродненская,"Гродненский, Щучинский",REPUBLICAN,LANDSCAPE,,,,,,,
«Липичанская пуща»,Заказник,Ландшафтные,"53.461564, 24.933343",Гродненская,"Дятловский, Мостовский, Щучинский",REPUBLICAN,LANDSCAPE,,,,,,,
«Налибокский»,Заказник,Ландшафтные,"53.715484, 26.301759",Гродненская,Новогрудский,REPUBLICAN,LANDSCAPE,,,,,,,
«Новогрудский»,Заказник,Ландшафтные,"53.650738, 25.816447",Гродненская,Новогрудский,REPUBLICAN,LANDSCAPE,,,,,,,
«Свитязянский»,Заказник,Ландшафтные,"53.428997, 25.905685",Гродненская,"Новогрудский, Кореличский",REPUBLICAN,LANDSCAPE,,,,,,,
«Сорочанские озера»,Заказник,Ландшафтные,"54.8772, 26.1914",Гродненская,Островецкий,REPUBLICAN,LANDSCAPE,,,,,,,
«Котра»,Заказник,Ландшафтные,"53.749242, 24.635677",Гродненская,Щучинский,REPUBLICAN,LANDSCAPE,,,,,,,
